GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s�) , ACCELEROMETER Y (m/s�), ACCELEROMETER Z (m/s�), GRAVITY X (m/s�), GRAVITY Y (m/s�), GRAVITY Z (m/s�), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (μT), MAGNETIC FIELD Y (μT), MAGNETIC FIELD Z (μT), ORIENTATION (Yaw) (°), ORIENTATION (Pitch) (°), ORIENTATION (Roll ) (°),VEHICLE ACCEL X (m/s2),VEHICLE ACCEL Y (m/s2),VEHICLE ACCEL Z (m/s2),VEHICLE GYRO X (rad/s),VEHICLE GYRO Y (rad/s),VEHICLE GYRO Z (rad/s),EST Q W,EST Q X,EST Q Y,EST Q Z,ORIENTATION INITIALIZED
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,2922,2019-09-08 10:07:49:546,0.1002,1.539,9.8338,0.0028,0.0048,9.8066,0.0187,-0.0607,-0.0069,-5.87,-26.37,30.31,18.78,-78.2,-153.5,1.5389999999999997,-0.10019999999999973,9.8338,-0.06069999999999999,-0.01870000000000001,-0.0069,0.6320198127854244,0.05339725186443087,0.05669264919268423,0.7710289445069614,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,3022,2019-09-08 10:07:49:646,0.3661,-0.5675,10.2633,0.0112,-0.0054,9.8066,-0.0116,-0.0595,-0.0168,-6.0,-26.06,29.81,18.42,-78.22,-153.78,-0.5674999999999999,-0.36610000000000004,10.2633,-0.0595,0.011599999999999985,-0.0168,0.6328480970378151,0.05547875857631757,0.05437232681129055,0.7703694201482645,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,3121,2019-09-08 10:07:49:745,0.0257,0.7192,9.7339,0.0061,-0.0161,9.8065,-0.0143,-0.0524,0.0234,-5.69,-26.06,30.56,17.81,-78.15,-154.56,0.7192,-0.025699999999999834,9.7339,-0.052399999999999995,0.014299999999999997,0.0234,0.6321108625718672,0.05742457652911887,0.05239929950553116,0.7709686043156563,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,3221,2019-09-08 10:07:49:845,0.8207,-0.5999,9.7746,0.0024,0.0023,9.8066,0.0266,-0.0646,0.0316,-5.81,-26.56,29.88,17.45,-78.07,-154.73,-0.5998999999999999,-0.8207000000000001,9.7746,-0.06459999999999999,-0.026600000000000013,0.0316,0.6309596502521458,0.06108944979104929,0.051178137743270236,0.7717116022809606,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,3322,2019-09-08 10:07:49:946,0.6825,0.0965,9.6368,0.0051,-0.0157,9.8066,-0.0198,-0.0267,-0.0104,-5.81,-26.5,29.63,16.93,-77.97,-155.07,0.09650000000000003,-0.6824999999999999,9.636799999999997,-0.026700000000000005,0.019799999999999998,-0.0104,0.6314687841912215,0.06180861758807564,0.049635098319080924,0.771338593873512,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,3421,2019-09-08 10:07:50:045,0.3605,0.3625,9.984,-0.0032,-0.0038,9.8066,0.0631,-0.0595,0.0113,-6.56,-26.5,29.81,14.63,-77.84,-155.13,0.3625000000000001,-0.36049999999999993,9.984,-0.05949999999999999,-0.06310000000000002,0.0113,0.6309639245364935,0.0663661590233251,0.05027990740110919,0.771331309997029,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,3522,2019-09-08 10:07:50:146,0.4613,0.6275,9.8064,-0.0005,0.0061,9.8066,0.0105,-0.0116,-0.0019,-5.94,-25.94,29.88,16.93,-77.82,-155.12,0.6275,-0.4612999999999999,9.8064,-0.011599999999999996,-0.0105,-0.0018999999999999998,0.6310067297466483,0.06750123800744598,0.05050660326687339,0.7711829697992204,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,3622,2019-09-08 10:07:50:246,0.2006,1.3535,9.6703,0.0081,0.0096,9.8066,-0.0657,0.0044,-0.0377,-6.31,-27.12,30.38,17.57,-77.86,-154.71,1.3535,-0.20059999999999978,9.6703,0.004399999999999987,0.0657,-0.0377,0.6326401815861034,0.06558750317949326,0.04860741843839176,0.7701311569740166,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,3722,2019-09-08 10:07:50:346,-0.2899,0.6331,9.6904,-0.015,0.0108,9.8065,-0.0288,0.0374,-0.024,-6.06,-26.0,29.56,17.81,-78.03,-154.34,0.6331,0.28990000000000005,9.6904,0.037399999999999996,0.0288,-0.024,0.633553381295543,0.0634047690348779,0.049069701970379444,0.7695336981972631,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,3821,2019-09-08 10:07:50:445,0.3603,1.2992,9.9784,-0.0044,-0.0101,9.8066,-0.114,0.0384,-0.0364,-6.12,-26.44,30.13,18.51,-78.11,-153.74,1.2992,-0.36029999999999973,9.9784,0.03839999999999998,0.11399999999999999,-0.0364,0.6351623984612638,0.058758866651756295,0.04638943813130514,0.7687419223644552,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,3922,2019-09-08 10:07:50:546,-0.4425,0.8494,9.8731,0.0034,-0.0196,9.8066,-0.1402,0.0217,-0.0265,-5.75,-26.5,29.13,18.23,-78.13,-153.69,0.8494,0.44250000000000006,9.8731,0.02169999999999997,0.1402,-0.0265,0.6365265318564463,0.05364074608436389,0.042142150960852276,0.7682321808637737,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,4021,2019-09-08 10:07:50:645,-0.3747,2.814,11.3035,-0.0248,0.0196,9.8065,0.0668,0.0058,-0.0597,-6.37,-26.44,29.38,18.46,-78.37,-153.42,2.814,0.37470000000000026,11.3035,0.0058000000000000135,-0.0668,-0.0597,0.6385713248080931,0.05594789222002534,0.045686988910710186,0.7661652534102849,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,4121,2019-09-08 10:07:50:745,0.5803,0.5597,9.8483,0.0133,0.0257,9.8065,0.0928,-0.0013,-0.0238,-6.5,-26.62,29.94,19.02,-78.42,-153.35,0.5597000000000001,-0.5802999999999999,9.8483,-0.0012999999999999817,-0.0928,-0.0238,0.6391900656135627,0.059314655116352,0.04941021291506319,0.7651643369688932,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,4221,2019-09-08 10:07:50:845,0.9522,0.9144,10.041,-0.0001,-0.0183,9.8066,-0.0164,-0.0317,0.0413,-6.31,-26.5,30.31,18.59,-78.36,-153.6,0.9144000000000002,-0.9521999999999999,10.041,-0.0317,0.016399999999999994,0.0413,0.6376973494359678,0.060634302040462176,0.04781346316316574,0.7664068401826487,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,4321,2019-09-08 10:07:50:945,-0.289,0.7632,9.3697,0.0033,-0.0121,9.8066,-0.1155,0.0798,-0.0472,-6.56,-26.12,30.13,16.25,-78.23,-153.7,0.7632,0.28900000000000003,9.3697,0.07979999999999998,0.11550000000000003,-0.0472,0.6396297039344407,0.05409822072084076,0.046431961577253454,0.7653700394604348,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,4422,2019-09-08 10:07:51:046,2.0907,2.2083,9.6777,0.0075,-0.0039,9.8066,-0.0154,-0.05,0.105,-6.56,-26.06,30.06,16.21,-78.3,-153.71,2.2083000000000004,-2.0906999999999996,9.6777,-0.05,0.015399999999999987,0.10499999999999998,0.6356538010088807,0.056776443340460794,0.044196386355807776,0.7686139214050561,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,4521,2019-09-08 10:07:51:145,0.8095,1.5868,10.249,-0.0229,0.0106,9.8065,0.019,0.1389,-0.0674,-6.56,-26.69,30.56,18.0,-78.26,-152.7,1.5868000000000002,-0.8094999999999997,10.249,0.13890000000000002,-0.018999999999999982,-0.0674,0.6377989815035158,0.052577100833846424,0.04978549065859514,0.7667917009076639,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,4622,2019-09-08 10:07:51:246,-0.2451,1.6643,9.9904,0.0027,0.0187,9.8066,-0.0168,0.0323,-0.0643,-6.81,-26.37,30.0,17.7,-78.31,-152.49,1.6643,0.2451000000000002,9.9904,0.032299999999999995,0.016800000000000006,-0.0643,0.6402165807610587,0.051103356088646745,0.05083467859057106,0.7648052119119542,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,4721,2019-09-08 10:07:51:345,-0.2453,1.6826,9.5951,-0.0125,0.0174,9.8065,0.0332,0.1052,-0.0976,-6.87,-26.62,30.44,18.3,-78.47,-152.07,1.6825999999999999,0.2453000000000003,9.5951,0.1052,-0.03319999999999997,-0.0976,0.6435094612300164,0.048420623155837256,0.05614428231492988,0.7618391143305757,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,4822,2019-09-08 10:07:51:446,0.1397,1.1485,9.386,-0.0038,0.0003,9.8066,-0.0296,0.0533,-0.0057,-7.19,-26.31,30.75,18.04,-78.44,-152.5,1.1485,-0.1396999999999997,9.386,0.0533,0.029600000000000008,-0.0057,0.6436083001899904,0.04591248523101067,0.057065938757432134,0.7618424235103981,True
